Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	Sus scrofa	1:Experimental evidence at protein level	Trypsin	1.0	0.999	4	112	112	112	37	38	37	37	38	37	37	38	37	8.6955398E8	9.5388442E8	9.3922048E8	3.46025984E8	4.33321088E8	4.2535024E8	
contam_sp|P12081|HARS1_HUMAN	P12081	HARS1_HUMAN	HARS1	509	Homo sapiens	1:Experimental evidence at protein level	Histidine--tRNA ligase, cytoplasmic	0.9301	0.9864	2	1	1	10	0	0	1	0	0	1	3	3	4	2647322.2	3312809.2	5158803.0	2647322.2	3312809.2	5158803.0	
contam_sp|P32503|GAG_SCVLA	P32503	GAG_SCVLA	gag	680	Saccharomyces cerevisiae virus L-A	1:Experimental evidence at protein level	Major capsid protein	1.0	0.999	13	124	124	124	38	42	44	38	42	44	38	42	44	4.07518304E8	4.01132128E8	4.26874848E8	6.9243416E7	7.57236E7	7.3955408E7	
contam_sp|P68871|HBB_HUMAN	P68871	HBB_HUMAN	HBB	147	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit beta	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	9895801.0	3118190.8	1.0066576E7	9895801.0	3118190.8	1.0066576E7	
contam_sp|P69905|HBA_HUMAN	P69905	HBA_HUMAN	HBA2	142	Homo sapiens	1:Experimental evidence at protein level	Hemoglobin subunit alpha	0.675	0.9859	1	3	3	3	1	1	1	1	1	1	1	1	1	4647874.5	4155309.8	4486456.0	4647874.5	4155309.8	4486456.0	
contam_sp|Q06830|PRDX1_HUMAN	Q06830	PRDX1_HUMAN	PRDX1	199	Homo sapiens	1:Experimental evidence at protein level	Peroxiredoxin-1	0.9627	0.9988	1	1	1	1	0	1	0	0	1	0	0	1	0	1758812.1	2694560.2	0.0	1758812.1	2694560.2	0.0	
contam_sp|Q92764|KRT35_HUMAN	Q92764	KRT35_HUMAN	KRT35	455	Homo sapiens	1:Experimental evidence at protein level	Keratin, type I cuticular Ha5	0.7195	0.9885	1	1	1	1	1	0	0	1	0	0	1	0	0	4885324.5	4067137.5	3144763.0	4885324.5	4067137.5	3144763.0	
sp|O13297|CET1_YEAST	O13297	CET1_YEAST	CET1	549	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	mRNA-capping enzyme subunit beta	0.9999	0.999	2	5	5	5	3	1	1	3	1	1	3	1	1	5300554.5	3855814.0	3979233.2	3637354.0	2726344.2	2250061.0	
sp|O13516|RS9A_YEAST	O13516	RS9A_YEAST	RPS9A	197	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S9-A	1.0	0.999	12	3	3	210	1	1	1	1	1	1	70	70	70	1.482889E7	1.9849714E7	1.9458994E7	1.482889E7	1.9849714E7	1.9458994E7	
sp|O13535|YH11B_YEAST	O13535	YH11B_YEAST	TY1B-H	1793	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	3:Protein inferred from homology	Transposon Ty1-H Gag-Pol polyprotein	1.0	0.999	14	101	0	101	35	35	31	0	0	0	35	35	31	4.12988864E8	4.74731232E8	5.15561536E8	1.13874744E8	1.271254E8	1.41116272E8	
sp|O13547|CCW14_YEAST	O13547	CCW14_YEAST	CCW14	238	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Covalently-linked cell wall protein 14	0.9674	0.999	1	5	5	5	1	2	2	1	2	2	1	2	2	3.6989136E7	2.6651574E7	3.7403556E7	3.6989136E7	2.6651574E7	3.7403556E7	
sp|O13563|RPN13_YEAST	O13563	RPN13_YEAST	RPN13	156	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN13	1.0	0.999	3	5	5	5	1	1	3	1	1	3	1	1	3	2.818708E7	2.939503E7	3.2543472E7	1.7566334E7	1.6717985E7	1.5894684E7	
sp|O14455|RL36B_YEAST	O14455	RL36B_YEAST	RPL36B	100	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L36-B	1.0	0.999	4	81	21	81	26	24	31	7	6	8	26	24	31	7.5924403E8	7.2521568E8	5.6980973E8	2.65328944E8	2.32178608E8	2.30917136E8	
sp|O14467|MBF1_YEAST	O14467	MBF1_YEAST	MBF1	151	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Multiprotein-bridging factor 1	1.0	0.999	9	58	58	58	19	19	20	19	19	20	19	19	20	3.70325312E8	3.26150624E8	4.13457696E8	1.1682948E8	1.03101792E8	1.07577912E8	
sp|O43137|YB085_YEAST	O43137	YB085_YEAST	YBR085C-A	85	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uncharacterized protein YBR085C-A	1.0	0.999	2	9	9	9	3	3	3	3	3	3	3	3	3	5.6639872E7	5.7777796E7	6.172294E7	4.013496E7	4.6498972E7	4.9575812E7	
sp|O60200|MDM35_YEAST	O60200	MDM35_YEAST	MDM35	86	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial distribution and morphology protein 35	0.9674	0.999	1	1	1	1	0	0	1	0	0	1	0	0	1	3491396.8	5320799.5	5749668.5	3491396.8	5320799.5	5749668.5	
sp|O74700|TIM9_YEAST	O74700	TIM9_YEAST	TIM9	87	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit TIM9	1.0	0.999	2	8	8	8	3	2	3	3	2	3	3	2	3	7.885112E7	7.6786888E7	6.9609888E7	6.0356928E7	5.84544E7	5.7918384E7	
sp|O94742|SEM1_YEAST	O94742	SEM1_YEAST	SEM1	89	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome complex subunit SEM1	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	8283865.0	8836772.0	1.2322696E7	8283865.0	8836772.0	1.2322696E7	
sp|P00045|CYC7_YEAST	P00045	CYC7_YEAST	CYC7	113	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome c isoform 2	1.0	0.999	2	2	1	2	1	1	0	1	0	0	1	1	0	7995940.0	8187535.0	6734884.0	5099742.5	5038944.0	4101842.8	
sp|P00127|QCR6_YEAST	P00127	QCR6_YEAST	QCR6	147	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 6, mitochondrial	0.9674	0.999	1	2	2	2	1	1	0	1	1	0	1	1	0	1.0977214E7	1.2184738E7	1.1860522E7	1.0977214E7	1.2184738E7	1.1860522E7	
