Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	37	37	37	7.4459354E8	7.4459354E8	7.4459354E8	17M(15.9949)		
contam_sp|P32503|GAG_SCVLA	P32503	GAG_SCVLA	gag	680	false	true	Saccharomyces cerevisiae virus L-A	Major capsid protein	1:Experimental evidence at protein level	23.24	1.0000	0.9990	0.00000000000000	13	13	13	38	38	38	1.86016752E8	1.86016752E8	1.86016752E8	10C(57.0215),3C(57.0215)		
sp|O13516|RS9A_YEAST	O13516	RS9A_YEAST	RPS9A	197	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	40S ribosomal protein S9-A	1:Experimental evidence at protein level	49.75	1.0000	0.9990	0.00000000000000	12	1	1	70	1	1	1.11500211E9	1.482889E7	1.482889E7			
sp|O13535|YH11B_YEAST	O13535	YH11B_YEAST	TY1B-H	1793	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Transposon Ty1-H Gag-Pol polyprotein	3:Protein inferred from homology	9.76	1.0000	0.9990	0.00000000000000	13	0	13	35	0	35	2.35903824E8	0	2.35903824E8	3C(57.0215)		
sp|O13563|RPN13_YEAST	O13563	RPN13_YEAST	RPN13	156	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	26S proteasome regulatory subunit RPN13	1:Experimental evidence at protein level	7.05	1.0000	0.9990	0.00000000000000	2	2	2	1	1	1	2.818708E7	2.818708E7	2.818708E7	4C(57.0215)		
sp|O14455|RL36B_YEAST	O14455	RL36B_YEAST	RPL36B	100	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L36-B	1:Experimental evidence at protein level	40.00	1.0000	0.9990	0.00000000000000	4	1	4	26	7	26	7.2335258E8	1.86346784E8	7.2335258E8	4M(15.9949)		
sp|O14467|MBF1_YEAST	O14467	MBF1_YEAST	MBF1	151	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Multiprotein-bridging factor 1	1:Experimental evidence at protein level	51.66	1.0000	0.9990	0.00000000000000	8	8	8	19	19	19	2.59699552E8	2.59699552E8	2.59699552E8	N-term(42.0106)		
sp|O43137|YB085_YEAST	O43137	YB085_YEAST	YBR085C-A	85	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Uncharacterized protein YBR085C-A	1:Experimental evidence at protein level	25.88	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	5.6639872E7	5.6639872E7	5.6639872E7			
sp|O74700|TIM9_YEAST	O74700	TIM9_YEAST	TIM9	87	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Mitochondrial import inner membrane translocase subunit TIM9	1:Experimental evidence at protein level	24.14	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	7.885112E7	7.885112E7	7.885112E7	1C(57.0215),5C(57.0215)		
sp|P00045|CYC7_YEAST	P00045	CYC7_YEAST	CYC7	113	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Cytochrome c isoform 2	1:Experimental evidence at protein level	9.73	1.0000	0.9990	0.00000000000000	2	1	2	1	1	1	7995940.0	3500198.8	7995940.0			
